POINT=AUBURN;MODEL=GFS_0P25_1HR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.02,25,170,7
2020020606,100,0.06,25,130,10
2020020607,100,0.14,26,100,7
2020020608,100,0.24,27,80,11
2020020609,100,0.29,28,70,13
2020020610,100,0.34,28,60,13
2020020611,100,0.39,29,60,14
2020020612,100,0.41,30,70,15
2020020613,100,0.42,31,80,12
2020020614,100,0.42,31,80,8
2020020615,100,0.44,31,50,10
2020020616,100,0.45,31,50,14
2020020617,100,0.45,32,30,13
2020020618,100,0.48,30,30,17
2020020619,100,0.49,30,30,18
2020020620,100,0.50,29,20,17
