POINT=BELGIUM;MODEL=GFS_0P25_1HR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.03,25,140,5
2020020606,100,0.13,25,90,7
2020020607,100,0.26,25,110,10
2020020608,100,0.37,25,80,9
2020020609,100,0.45,26,80,10
2020020610,100,0.52,27,90,10
2020020611,100,0.56,27,80,10
2020020612,100,0.58,27,80,11
2020020613,100,0.59,28,90,9
2020020614,100,0.60,29,90,8
2020020615,100,0.60,30,80,5
2020020616,100,0.62,31,80,5
2020020617,100,0.62,32,100,3
2020020618,100,0.64,32,330,2
2020020619,100,0.65,32,40,3
2020020620,100,0.65,32,300,5
