POINT=CENTRALSQUARE;MODEL=GFS_0P25_1HR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.02,25,120,6
2020020606,100,0.12,24,80,7
2020020607,100,0.26,25,110,11
2020020608,100,0.40,25,90,11
2020020609,100,0.48,26,90,10
2020020610,100,0.56,27,100,12
2020020611,100,0.61,27,90,11
2020020612,100,0.63,28,90,11
2020020613,100,0.65,28,100,11
2020020614,100,0.65,29,90,11
2020020615,100,0.66,30,80,8
2020020616,100,0.68,32,90,7
2020020617,100,0.68,32,100,6
2020020618,100,0.70,32,80,2
2020020619,100,0.71,33,80,5
2020020620,100,0.71,33,10,1
