POINT=HANNIBAL;MODEL=GFS_0P25_1HR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.04,24,130,4
2020020606,100,0.13,24,110,8
2020020607,100,0.24,25,120,10
2020020608,100,0.35,25,80,9
2020020609,100,0.42,25,80,10
2020020610,100,0.48,26,70,10
2020020611,100,0.52,27,60,11
2020020612,100,0.54,27,70,12
2020020613,100,0.55,28,80,10
2020020614,100,0.55,29,80,7
2020020615,100,0.56,29,50,5
2020020616,100,0.56,30,70,6
2020020617,100,0.57,31,60,4
2020020618,100,0.59,32,20,5
2020020619,100,0.60,31,0,6
2020020620,100,0.62,30,330,7
