POINT=LAFAYETTE;MODEL=GFS_0P25_1HR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.04,25,110,4
2020020606,100,0.16,25,80,5
2020020607,100,0.36,26,120,7
2020020608,100,0.47,28,120,9
2020020609,100,0.54,28,100,5
2020020610,100,0.61,29,110,8
2020020611,100,0.64,29,110,8
2020020612,100,0.66,29,70,5
2020020613,100,0.69,30,100,5
2020020614,100,0.70,32,90,4
2020020615,100,0.70,32,350,2
2020020616,100,0.71,32,50,2
2020020617,100,0.72,33,340,1
2020020618,100,0.73,33,320,2
2020020619,100,0.74,33,60,3
2020020620,100,0.74,33,290,2
