POINT=PARISH;MODEL=GFS_0P25_1HR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.02,25,180,6
2020020606,100,0.06,25,130,9
2020020607,100,0.14,25,110,8
2020020608,100,0.25,25,90,8
2020020609,100,0.31,26,80,8
2020020610,100,0.35,27,80,6
2020020611,100,0.40,28,70,7
2020020612,100,0.42,29,90,8
2020020613,100,0.42,29,100,7
2020020614,100,0.43,30,110,7
2020020615,100,0.44,31,40,3
2020020616,100,0.45,31,50,5
2020020617,100,0.45,33,10,3
2020020618,100,0.47,31,350,7
2020020619,100,0.49,31,10,8
2020020620,100,0.49,30,350,9
