POINT=SANDYCREEK;MODEL=GFS_0P25_1HR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.01,24,180,5
2020020606,100,0.03,24,150,9
2020020607,100,0.08,24,140,4
2020020608,100,0.17,24,90,5
2020020609,100,0.21,25,70,6
2020020610,100,0.26,26,80,6
2020020611,100,0.29,26,70,8
2020020612,100,0.31,26,70,8
2020020613,100,0.32,28,80,7
2020020614,100,0.32,28,80,8
2020020615,100,0.34,29,40,5
2020020616,100,0.36,29,40,7
2020020617,100,0.37,30,40,6
2020020618,100,0.38,29,20,7
2020020619,100,0.41,28,40,10
2020020620,100,0.41,27,40,10
