POINT=AUBURN;MODEL=HRRR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.00,25,80,6
2020020606,100,0.00,24,120,4
2020020607,100,0.04,23,60,5
2020020608,100,0.04,24,70,9
2020020609,100,0.04,25,80,9
2020020610,100,0.03,26,70,9
2020020611,100,0.03,27,60,10
2020020612,100,0.02,27,80,10
2020020613,100,0.01,28,80,8
2020020614,100,0.01,30,80,8
2020020615,100,0.03,31,70,7
2020020616,100,0.02,32,60,8
2020020617,100,0.06,33,50,9
2020020618,100,0.08,33,30,11
2020020619,100,0.02,34,30,11
2020020620,100,0.02,34,30,10
