POINT=BELGIUM;MODEL=HRRR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.00,24,70,3
2020020606,100,0.01,23,320,2
2020020607,100,0.08,23,80,5
2020020608,100,0.06,25,70,7
2020020609,100,0.05,26,90,9
2020020610,100,0.02,27,90,9
2020020611,100,0.01,27,80,9
2020020612,100,0.05,27,90,10
2020020613,100,0.01,28,90,8
2020020614,100,0.00,31,90,8
2020020615,100,0.01,32,80,8
2020020616,100,0.01,33,80,8
2020020617,100,0.02,35,70,4
2020020618,100,0.05,35,60,6
2020020619,100,0.01,37,80,5
2020020620,100,0.01,36,330,4
