POINT=HANNIBAL;MODEL=HRRR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.00,23,80,5
2020020606,100,0.00,23,80,2
2020020607,100,0.06,23,70,4
2020020608,100,0.05,24,70,7
2020020609,100,0.05,25,70,7
2020020610,100,0.03,26,70,7
2020020611,100,0.02,27,70,7
2020020612,100,0.03,27,90,8
2020020613,100,0.01,28,80,7
2020020614,100,0.01,30,90,8
2020020615,100,0.02,31,80,7
2020020616,100,0.01,32,70,5
2020020617,100,0.05,32,40,4
2020020618,100,0.08,33,30,6
2020020619,100,0.01,34,10,6
2020020620,100,0.01,34,10,6
