POINT=LAFAYETTE;MODEL=HRRR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.00,25,80,2
2020020606,100,0.02,24,170,2
2020020607,100,0.07,25,110,4
2020020608,100,0.04,26,100,2
2020020609,100,0.03,28,90,2
2020020610,100,0.02,29,80,2
2020020611,100,0.02,30,90,3
2020020612,100,0.03,31,20,3
2020020613,100,0.02,32,140,6
2020020614,100,0.00,34,170,5
2020020615,100,0.00,36,320,3
2020020616,100,0.00,37,50,2
2020020617,100,0.00,39,320,4
2020020618,100,0.04,38,360,3
2020020619,100,0.02,39,10,2
2020020620,100,0.01,39,340,5
