POINT=PULASKI;MODEL=HRRR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.00,23,100,4
2020020606,100,0.00,23,160,1
2020020607,100,0.03,22,80,4
2020020608,100,0.04,23,60,5
2020020609,100,0.04,24,80,4
2020020610,100,0.02,25,60,5
2020020611,100,0.03,26,40,5
2020020612,100,0.02,27,80,4
2020020613,100,0.01,28,80,4
2020020614,100,0.01,30,80,5
2020020615,100,0.02,32,100,6
2020020616,100,0.03,32,30,3
2020020617,100,0.04,34,0,6
2020020618,100,0.10,34,10,6
2020020619,100,0.02,35,360,5
2020020620,100,0.02,34,0,5
