POINT=SANDYCREEK;MODEL=HRRR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.00,22,100,4
2020020606,100,0.00,23,220,1
2020020607,100,0.02,22,360,3
2020020608,100,0.04,22,50,4
2020020609,100,0.04,22,70,2
2020020610,100,0.02,24,20,3
2020020611,100,0.03,25,10,3
2020020612,100,0.02,26,110,2
2020020613,100,0.01,27,10,2
2020020614,100,0.02,29,50,3
2020020615,100,0.01,32,70,2
2020020616,100,0.04,32,20,3
2020020617,100,0.04,33,350,5
2020020618,100,0.10,34,0,5
2020020619,100,0.02,34,340,5
2020020620,100,0.02,34,10,5
