POINT=HANNIBAL;MODEL=NAM1HR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.00,28,120,6
2020020606,100,0.04,26,90,3
2020020607,100,0.15,26,90,7
2020020608,100,0.25,26,90,10
2020020609,100,0.27,27,90,9
2020020610,100,0.36,27,80,10
2020020611,100,0.37,28,80,10
2020020612,100,0.07,29,80,10
2020020613,100,0.01,29,90,11
2020020614,100,0.01,30,90,10
2020020615,100,0.02,30,90,9
2020020616,100,0.04,31,80,10
2020020617,100,0.07,32,70,8
2020020618,100,0.07,32,60,7
2020020619,100,0.10,32,60,8
2020020620,100,0.10,32,50,8
