POINT=LAFAYETTE;MODEL=NAM1HR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.00,26,110,7
2020020606,100,0.04,26,90,4
2020020607,100,0.16,26,70,6
2020020608,100,0.26,26,90,10
2020020609,100,0.32,27,100,9
2020020610,100,0.39,28,100,9
2020020611,100,0.40,29,90,9
2020020612,100,0.05,29,90,8
2020020613,100,0.00,30,100,9
2020020614,100,0.00,31,110,9
2020020615,100,0.01,32,110,8
2020020616,100,0.01,32,100,9
2020020617,100,0.05,32,100,5
2020020618,100,0.07,32,90,4
2020020619,100,0.12,32,70,4
2020020620,100,0.16,32,70,4
