POINT=OCSD;MODEL=NAM1HR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.00,29,110,7
2020020606,100,0.03,27,120,3
2020020607,100,0.12,27,90,8
2020020608,100,0.22,27,90,11
2020020609,100,0.24,28,90,11
2020020610,100,0.31,29,80,11
2020020611,100,0.32,30,70,12
2020020612,100,0.06,30,80,12
2020020613,100,0.01,30,80,12
2020020614,100,0.01,31,90,11
2020020615,100,0.02,31,80,10
2020020616,100,0.03,32,80,11
2020020617,100,0.06,32,70,9
2020020618,100,0.08,32,60,10
2020020619,100,0.11,33,50,11
2020020620,100,0.11,32,40,11
