POINT=PARISH;MODEL=NAM1HR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.00,28,110,6
2020020606,100,0.02,25,110,4
2020020607,100,0.14,26,90,6
2020020608,100,0.24,26,100,8
2020020609,100,0.30,26,100,8
2020020610,100,0.38,27,90,8
2020020611,100,0.40,28,90,8
2020020612,100,0.09,28,90,8
2020020613,100,0.01,29,100,9
2020020614,100,0.01,29,100,9
2020020615,100,0.02,30,100,9
2020020616,100,0.03,31,100,9
2020020617,100,0.06,31,100,7
2020020618,100,0.07,31,90,6
2020020619,100,0.10,31,80,6
2020020620,100,0.10,32,80,6
