POINT=SANDYCREEK;MODEL=NAM1HR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.00,27,110,5
2020020606,100,0.00,28,180,3
2020020607,100,0.06,25,100,4
2020020608,100,0.13,26,100,6
2020020609,100,0.18,26,90,7
2020020610,100,0.20,27,80,6
2020020611,100,0.21,28,70,7
2020020612,100,0.05,28,80,7
2020020613,100,0.01,28,80,8
2020020614,100,0.02,29,90,7
2020020615,100,0.03,30,90,6
2020020616,100,0.06,31,80,7
2020020617,100,0.09,32,70,4
2020020618,100,0.08,31,60,6
2020020619,100,0.11,31,50,6
2020020620,100,0.11,31,50,7
