POINT=SYRACUSE;MODEL=NAM1HR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.00,27,100,6
2020020606,100,0.03,25,80,4
2020020607,100,0.17,25,70,6
2020020608,100,0.27,26,90,9
2020020609,100,0.35,26,90,9
2020020610,100,0.43,27,90,9
2020020611,100,0.44,28,80,10
2020020612,100,0.07,28,80,9
2020020613,100,0.00,28,90,10
2020020614,100,0.00,29,90,10
2020020615,100,0.00,30,90,9
2020020616,100,0.01,31,90,10
2020020617,100,0.04,31,80,7
2020020618,100,0.06,32,80,6
2020020619,100,0.08,32,70,7
2020020620,100,0.10,32,70,6
